review_id,app_id,game_name,review_text,voted_up,playtime_hours,date,month,true_sentiment
rev_00000,1091500,Cyberpunk 2077,The developers abandoned this game after launch. No updates in 6 months.,False,13.6,2023-01-24,2023-01,negative
rev_00001,1091500,Cyberpunk 2077,Controls are clunky and unresponsive. Feels unfinished.,False,5.5,2023-11-14,2023-11,negative
rev_00002,1091500,Cyberpunk 2077,The developers really listen to the community. Updates keep improving the game.,True,36.2,2023-01-01,2023-01,positive
rev_00003,1203220,DEATH STRANDING,The UI is confusing and poorly designed. Hard to navigate menus.,False,40.4,2023-04-08,2023-04,negative
rev_00004,892970,Valheim,Loved every minute of it. The puzzles are clever and rewarding.,True,1.3,2023-10-26,2023-10,positive
rev_00005,1245620,Elden Ring,"Great optimization, runs perfectly on my mid-range PC. Love the art style.",True,9.4,2023-12-25,2023-12,positive
rev_00006,1174180,Red Dead Redemption 2,Best purchase I've made this year. Graphics are stunning and controls are responsive.,True,23.2,2023-02-12,2023-02,positive
rev_00007,1203220,DEATH STRANDING,The UI is confusing and poorly designed. Hard to navigate menus.,False,31.8,2023-05-04,2023-05,negative
rev_00008,892970,Valheim,Toxic community and no anti-cheat system. Hackers everywhere online.,False,50.5,2023-02-28,2023-02,negative
rev_00009,1174180,Red Dead Redemption 2,Best purchase I've made this year. Graphics are stunning and controls are responsive.,True,3.3,2023-10-08,2023-10,positive
rev_00010,1174180,Red Dead Redemption 2,Graphics are nice but gameplay is mediocre. Worth it on sale.,False,24.9,2023-02-15,2023-02,neutral
rev_00011,1174180,Red Dead Redemption 2,The developers really listen to the community. Updates keep improving the game.,True,56.5,2023-03-23,2023-03,positive
rev_00012,1091500,Cyberpunk 2077,Controls are clunky and unresponsive. Feels unfinished.,False,66.3,2023-10-06,2023-10,negative
rev_00013,892970,Valheim,Runs at a stable 60fps on ultra settings. Visually breathtaking.,True,52.1,2023-07-18,2023-07,positive
rev_00014,1245620,Elden Ring,Solid game with regular updates. Dev team is responsive on forums.,True,75.8,2023-11-08,2023-11,positive
rev_00015,1091500,Cyberpunk 2077,"Great optimization, runs perfectly on my mid-range PC. Love the art style.",True,4.4,2024-01-19,2024-01,positive
rev_00016,1174180,Red Dead Redemption 2,Multiplayer servers are always down. Can't even play online.,False,109.0,2023-04-21,2023-04,negative
rev_00017,892970,Valheim,The developers really listen to the community. Updates keep improving the game.,True,69.3,2023-03-18,2023-03,positive
rev_00018,1174180,Red Dead Redemption 2,Repetitive gameplay with nothing new after the first hour.,False,44.8,2023-12-12,2023-12,negative
rev_00019,1245620,Elden Ring,Best purchase I've made this year. Graphics are stunning and controls are responsive.,True,71.5,2023-03-28,2023-03,positive
rev_00020,1091500,Cyberpunk 2077,No controller support. Keyboard only on a game that screams for gamepad.,False,58.0,2023-03-20,2023-03,negative
rev_00021,1091500,Cyberpunk 2077,Worth every penny. The open world is huge and full of things to do.,True,38.7,2023-07-18,2023-07,positive
rev_00022,1091500,Cyberpunk 2077,Performance issues ruined my experience. Even low settings don't help.,False,109.0,2023-11-25,2023-11,negative
rev_00023,1174180,Red Dead Redemption 2,Game crashes every 30 minutes. Unplayable in its current state.,False,18.4,2024-01-06,2024-01,negative
rev_00024,892970,Valheim,Average experience overall. Neither impressed nor disappointed.,False,179.6,2023-01-25,2023-01,neutral
rev_00025,1245620,Elden Ring,Average experience overall. Neither impressed nor disappointed.,False,93.2,2023-09-17,2023-09,neutral
rev_00026,1203220,DEATH STRANDING,Solid game with regular updates. Dev team is responsive on forums.,True,9.8,2023-04-25,2023-04,positive
rev_00027,1203220,DEATH STRANDING,Incredible storyline with memorable characters. The voice acting is top notch.,True,34.5,2024-03-04,2024-03,positive
rev_00028,1174180,Red Dead Redemption 2,Average experience overall. Neither impressed nor disappointed.,False,14.7,2024-03-08,2024-03,neutral
rev_00029,1203220,DEATH STRANDING,Worth every penny. The open world is huge and full of things to do.,True,85.6,2023-02-25,2023-02,positive
rev_00030,1203220,DEATH STRANDING,Combat feels satisfying and deep. Lots of build variety to experiment with.,True,33.2,2024-01-18,2024-01,positive
rev_00031,1245620,Elden Ring,10/10 would buy again. The music and atmosphere are phenomenal.,True,28.5,2023-05-07,2023-05,positive
rev_00032,1203220,DEATH STRANDING,The developers abandoned this game after launch. No updates in 6 months.,False,63.4,2024-01-13,2024-01,negative
rev_00033,1174180,Red Dead Redemption 2,"Finished it once, won't replay. Story is fine, gameplay serviceable.",False,7.4,2023-08-08,2023-08,neutral
rev_00034,1091500,Cyberpunk 2077,"Performance is great, no bugs encountered. Very polished experience.",True,14.1,2023-06-08,2023-06,positive
rev_00035,1091500,Cyberpunk 2077,Terrible optimization. Constant stuttering even on high-end hardware.,False,14.0,2023-02-02,2023-02,negative
rev_00036,1174180,Red Dead Redemption 2,"Great optimization, runs perfectly on my mid-range PC. Love the art style.",True,56.3,2023-02-07,2023-02,positive
rev_00037,1203220,DEATH STRANDING,Repetitive gameplay with nothing new after the first hour.,False,43.3,2023-03-16,2023-03,negative
rev_00038,1245620,Elden Ring,Multiplayer is super fun with friends. Matchmaking is fast and fair.,True,11.6,2024-01-04,2024-01,positive
rev_00039,892970,Valheim,Worth every penny. The open world is huge and full of things to do.,True,100.7,2023-06-02,2023-06,positive
rev_00040,1091500,Cyberpunk 2077,Incredible storyline with memorable characters. The voice acting is top notch.,True,81.6,2023-01-04,2023-01,positive
rev_00041,1245620,Elden Ring,Worth every penny. The open world is huge and full of things to do.,True,8.6,2023-04-06,2023-04,positive
rev_00042,1174180,Red Dead Redemption 2,Runs at a stable 60fps on ultra settings. Visually breathtaking.,True,4.9,2023-08-26,2023-08,positive
rev_00043,1203220,DEATH STRANDING,"Performance is great, no bugs encountered. Very polished experience.",True,91.4,2023-02-03,2023-02,positive
rev_00044,1245620,Elden Ring,Worth every penny. The open world is huge and full of things to do.,True,13.0,2023-03-13,2023-03,positive
rev_00045,1091500,Cyberpunk 2077,Multiplayer is super fun with friends. Matchmaking is fast and fair.,True,16.4,2023-03-26,2023-03,positive
rev_00046,892970,Valheim,The crafting system is well thought out. Hours of content to explore.,True,270.3,2023-05-18,2023-05,positive
